Cluster, Domain, Lof, DomianType
Cluster 0, geni4s.com, 0.7853893352519602, 1
Cluster 0, dfmc.com.cn, 0.7857330600358493, 1
Cluster 0, getqood.com, 0.785733559624733, 1
Cluster 0, bodentech.com, 0.7857929959940242, -1
Cluster 0, intestcar.com, 0.7860941555153407, 1
Cluster 0, boorgeel.com, 0.7862549373652451, -1
Cluster 0, gsm110.com, 0.7862910036353415, -1
Cluster 0, mwcloudcdn.com, 0.7863057912503366, -1
Cluster 0, 008gps.com, 0.7864493464522339, 0
Cluster 0, easytomessage.com, 0.7864538031645681, -1
Cluster 0, hzjly.cn, 0.7865331246950947, 1
Cluster 0, duoyue.net, 0.7866214837006835, 1
Cluster 0, samsungcard.com, 0.7873663434759841, -1
Cluster 0, kuaishou.com, 0.7875884444948316, -1
Cluster 0, taopiaopiao.com, 0.7875884444948316, -1
Cluster 0, sinobds.cn, 0.7876126682336837, 1
Cluster 0, 518gps.com, 0.7881735915095855, 1
Cluster 0, gps110.org, 0.7884355440457631, 1
Cluster 0, pingan.com.cn, 0.7886510738263457, 1
Cluster 0, huxijia.cn, 0.788872165683524, 1
Cluster 0, google-analytics.com, 0.7890396975853567, -1
Cluster 0, xsagps.com, 0.7893536144708546, 1
Cluster 0, flurry.com, 0.7893993592893469, -1
Cluster 0, bing.com, 0.7894062361635878, -1
Cluster 0, vcyberobd.com, 0.7894482468644, 1
Cluster 0, senqiangsoft.com, 0.7897758663328034, 1
Cluster 0, gpsisd.com, 0.7899930778456721, 1
Cluster 0, zt-express.com, 0.7900066296135024, -1
Cluster 0, vect.com.cn, 0.7901660162908486, 1
Cluster 0, dftt.com.cn, 0.7903742886704749, 1
Cluster 0, 91isv.cn, 0.7908380437253483, -1
Cluster 0, gps021.net, 0.7909117734962059, 0
Cluster 0, jimicloud.com, 0.7910924021104732, 0
Cluster 0, tanx.com, 0.7911192440127166, -1
Cluster 0, abeacon.com, 0.7911832648702142, -1
Cluster 0, qingmang.mobi, 0.7912720245898851, -1
Cluster 0, xxhszx.com, 0.791488779047674, -1
Cluster 0, lewei666.com, 0.7915138167493987, 1
Cluster 0, vehstar.com, 0.791608241157322, -1
Cluster 0, brightdairy.com, 0.7920638510269801, 0
Cluster 0, sjtu.edu.cn, 0.7922623505976419, -1
Cluster 0, dingdangddc.com, 0.792419932929244, -1
Cluster 0, nhncorp.com, 0.7925578580557326, 0
Cluster 0, yuyue.com.cn, 0.7925578580557329, 1
Cluster 0, 71.am, 0.7927623836352918, -1
Cluster 0, cmobd.com, 0.7929217308587293, 1
Cluster 0, 95155.com, 0.7929385665933703, 1
Cluster 0, coneton.com, 0.7929465997593615, 1
Cluster 0, kang.cn, 0.7932214582537822, 1
Cluster 0, 18gps.net, 0.793237329918406, 1
Cluster 0, 365daoyou.cn, 0.7936100501560304, -1
Cluster 0, iyunmu.cn, 0.7938277279355003, -1
Cluster 0, irs01.com, 0.793879678126059, 1
Cluster 0, ctrip.com, 0.7938801038305782, -1
Cluster 0, rtzltech.cn, 0.7939291823093647, 1
Cluster 0, fangkuaiyi.com, 0.7946907092297986, -1
Cluster 0, ysepay.com, 0.794888353424755, 1
Cluster 0, tincere.link, 0.7949802510462076, 1
Cluster 0, naveco.com.cn, 0.7950642798797396, 1
Cluster 0, 02rc.com, 0.7951352776355132, -1
Cluster 0, wkanx.com, 0.7953251880662471, -1
Cluster 0, cq.cn, 0.7958255455405482, 0
Cluster 0, insistek-sh.com, 0.7960935898871515, 0
Cluster 0, vveye.net, 0.7962371060868907, -1
Cluster 0, jd.com, 0.7962502852966693, 0
Cluster 0, mobike.com, 0.7965946653316058, 1
Cluster 0, 360qws.cn, 0.7965946653316058, -1
Cluster 0, netease.im, 0.7966031845861801, -1
Cluster 0, teddymobile.cn, 0.7967697064249432, -1
Cluster 0, ccb.com.cn, 0.7969334952934312, 1
Cluster 0, ablecloud.cn, 0.7970452831651855, 1
Cluster 0, orageeapp.cn, 0.7971510808117707, 0
Cluster 0, 365chean.com, 0.797283004543389, -1
Cluster 0, qiyi.com, 0.7975966614970869, -1
Cluster 0, upqzfile.com, 0.797716859821171, -1
Cluster 0, 365gps.com, 0.7978557675000133, -1
Cluster 0, hexin.cn, 0.7983117715877073, -1
Cluster 0, xqchuxing.com, 0.7983496763695382, -1
Cluster 0, kingwings.cn, 0.798387598252002, 1
Cluster 0, gps889.com, 0.798470397419625, 1
Cluster 0, xiandinggps.com, 0.7987332738130934, 1
Cluster 0, ucpaas.com, 0.7988027312778788, -1
Cluster 0, o-bos.com, 0.79897249692656, 0
Cluster 0, shijicloud.com, 0.799036902726973, 1
Cluster 0, vcyber.com, 0.7991957305843826, 1
Cluster 0, gpsatr.com, 0.7994047605052699, 1
Cluster 0, ximalaya.com, 0.7996094800516319, -1
Cluster 0, usr.cn, 0.7996319277126567, 1
Cluster 0, miaozhen.com, 0.7998346391052429, -1
Cluster 0, qchannel03.cn, 0.8000589894992732, -1
Cluster 0, 17sxin.com, 0.8001788633241981, -1
Cluster 0, 51appupdate.com, 0.8002234262308576, -1
Cluster 0, bestzone.org, 0.800413567877895, 1
Cluster 0, iotts.net, 0.8004578279749003, 1
Cluster 0, newlandpayment.com, 0.8005648799772631, 1
Cluster 0, cheoa.cn, 0.8006755305519487, -1
Cluster 0, cusoun.com, 0.8008025603307132, -1
Cluster 0, wh028.com, 0.8008175446701212, -1
Cluster 0, kcnzq.com, 0.8010990391900705, -1
Cluster 0, adgomob.com, 0.8011798759730568, 1
Cluster 0, rayeye.cn, 0.8013523244103968, -1
Cluster 0, sto-express.cn, 0.8014738123329564, 1
Cluster 0, niu.com, 0.8016261611861001, 1
Cluster 0, hditcloud.com, 0.8021584530972085, 1
Cluster 0, gtwear.com, 0.8022923157550729, -1
Cluster 0, gizwits.com, 0.8023520551732695, 1
Cluster 0, yq1d.com, 0.8027286276514859, 1
Cluster 0, cmread.com, 0.8029087304721715, -1
Cluster 0, blibee.com, 0.8029166497834485, -1
Cluster 0, 1391.com, 0.8029611232077599, -1
Cluster 0, suojunpower.com, 0.8031195080035903, -1
Cluster 0, 51asiatek.cn, 0.8032786638002285, -1
Cluster 0, tanway.cn, 0.8037141621426347, -1
Cluster 0, easemob.com, 0.8038933954063374, -1
Cluster 0, car-cloud.org, 0.8038933954063376, -1
Cluster 0, w1501.com, 0.8039163564400592, -1
Cluster 0, cloudmobi.net, 0.8039793007983072, -1
Cluster 0, ilinkn.com, 0.8041354220530852, 1
Cluster 0, fun.tv, 0.8041882974522622, -1
Cluster 0, huazhuangapp.com, 0.8044129830182836, -1
Cluster 0, hopelead.link, 0.8044560771536468, -1
Cluster 0, growingio.com, 0.8045557978603768, -1
Cluster 0, sunvou.com, 0.8046416913422746, 1
Cluster 0, heweather.com, 0.8046652805310781, -1
Cluster 0, zsouth.com, 0.8046652805310781, -1
Cluster 0, msn.com, 0.8046652805310781, -1
Cluster 0, wwvas.com, 0.8046865649251702, 1
Cluster 0, aykj0577.com, 0.8047880101098821, -1
Cluster 0, miui.com, 0.8048267694577943, 0
Cluster 0, adnxs.com, 0.8048657948152055, -1
Cluster 0, 51.la, 0.8051795079038537, -1
Cluster 0, maroon91.com, 0.8054061956846599, 1
Cluster 0, naver.jp, 0.8054469243473047, -1
Cluster 0, yy.com, 0.8058622575205948, 0
